task_id,sub_plan,task_name,priority,status,depends_on,notes
3.0,3_تصميم_المحتوى,"تصحيح سطر 71: تغيير ""التشاركي"" إلى ""التنافسي"" — م1=تنافسي+مفتوح وليس تشاركي",عالية,pending,,خطأ حرج في ترتيب المجموعات
3.1,3_تصميم_المحتوى,"سيناريو م1 (تنافسي+مفتوح): 7 خطوات — كل طالب فردياً يبحث ويتنافس بدون حد زمني",عالية,pending,3.0,تحفيز: مسابقة + أفضل حل يفوز
3.2,3_تصميم_المحتوى,"سيناريو م2 (تنافسي+محدد): مثل م1 لكن مع deadline لكل مهمة",عالية,pending,3.1,فردي + مؤقت
3.3,3_تصميم_المحتوى,"سيناريو م3 (تشاركي+مفتوح): مجموعات (4-5) تتعاون + المشكلة تُقسم + بدون حد زمني",عالية,pending,3.1,تحفيز: تعاون + ذكاء جمعي
3.4,3_تصميم_المحتوى,"سيناريو م4 (تشاركي+محدد): مجموعات تتعاون + مؤقت لكل مهمة",عالية,pending,3.1,ضغط وقت + تعاون
3.5,3_تصميم_المحتوى,"جدول أساليب التفاعل: 3 أنواع (متعلم↔محتوى، متعلم↔متعلم، متعلم↔معلم) × أدوات Classroom",عالية,pending,,
3.6,3_تصميم_المحتوى,"جدول الأنشطة: 4 أنشطة (أخلاق بيئية + بيوطبية + مهنية + قيم) × نمط كل مجموعة",عالية,pending,3.1;3.2;3.3;3.4,السؤال الفعلي لكل نشاط
3.7,3_تصميم_المحتوى,"جدول تتابعات 21 يوم: تدريب(2) + قبلي(1) + وحدة1(6) + وحدة2(7) + مراجعة(3) + بعدي(2)",عالية,pending,3.6,
3.8,3_تصميم_المحتوى,"جدول الوسائط: نص + فيديو + إنفوجرافيك + صور × المصدر × الوحدة",متوسطة,pending,,
3.9,3_تصميم_المحتوى,وصف كل وسيط: مواصفات + طول + إعداد,متوسطة,pending,3.8,
3.10,3_تصميم_المحتوى,"4 نسخ تعليمات: م1(فردي+مفتوح) م2(فردي+محدد) م3(جماعي+مفتوح) م4(جماعي+محدد)",متوسطة,pending,,
3.11,3_تصميم_المحتوى,وصف Google Classroom: لماذا اُختير + هيكل + لقطات,عالية,pending,,
3.12,3_تصميم_المحتوى,"سيناريو كامل: جدول شاشة بشاشة (رقم+محتوى+وسائط+إجراء)",عالية,pending,3.1;3.2;3.3;3.4;3.5;3.6;3.7,
