task_id,sub_plan,task_name,priority,status,depends_on,notes
5.1,5_التقويم,"عرض على 5-7 محكمين (تكنولوجيا تعليم + مناهج فلسفة + نفس تربوي) + ملحق الأسماء",عالية,pending,,
5.2,5_التقويم,"جدول معايير تحكيم: 6 محاور × معايير تفصيلية",عالية,pending,,
5.3,5_التقويم,"جدول نتائج: نسبة اتفاق + جدول قبل/بعد التعديل",عالية,pending,5.1,
5.4,5_التقويم,"فقرة التعديلات: قائمة مرقمة + ختام (جاهزة للاستطلاعية)",عالية,pending,5.3,
5.5,5_التقويم,"التجربة الاستطلاعية: 20 طالب من خارج الـ80 (فصل آخر بنفس المدرسة) + اختبار حل مشكلات + مقياس تدفق + تجربة البيئة",عالية,pending,5.4,العينة الاستطلاعية منفصلة عن الأساسية (80 كلهم أساسيين)
5.6,5_التقويم,"صدق: محتوى ≥80% + اتساق داخلي (بيرسون مفردة↔مهارة/بُعد + مهارة/بُعد↔كلي) — لكلا الأداتين",عالية,pending,5.5,اختبار حل المشكلات: 5 مهارات × مفردات / مقياس التدفق: 8 أبعاد × عبارات
5.7,5_التقويم,"ثبات: ألفا كرونباخ ≥0.70 + تجزئة نصفية — لكل أداة ككل + لكل مهارة/بُعد",عالية,pending,5.5,
5.8,5_التقويم,"زمن اختبار حل المشكلات: (أول + آخر) ÷ 2",متوسطة,pending,5.5,
5.9,5_التقويم,"سهولة/صعوبة: لكل مفردة في اختبار حل المشكلات + مدى 0.20-0.80",متوسطة,pending,5.5,
5.10,5_التقويم,"تمييز: 27% عليا vs دنيا + ≥0.20",متوسطة,pending,5.5,
5.11,5_التقويم,"النسخة النهائية: عدد الشاشات + أنشطة + مفردات الاختبار + عبارات المقياس + جاهزة للتطبيق",عالية,pending,5.4;5.7,
